ano,codigo_depto,departamento,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_transicion,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transicion,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tamano_promedio_grupo,sedes_conectadas_a_internet,desercion,desercion_transicion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_transicion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_transicion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_transicion,repitencia_primaria,repitencia_secundaria,repitencia_media
2012,41,Huila,273653,89.77,0.8973,67.15,92.67,73.8,37.98,1.0019,90.94,111.82,103.66,69.78,26.44,44.54,0.052300000000000006,4.59,3.97,7.31,4.93,0.9001,0.2,92.08,7.31,89.23,0.047599999999999996,0.2,92.08,6.72,5.83,1.81,0.2,1.72,2.52,1.09
2012,44,La Guajira,239298,75.42,0.7533,46.22,72.47,41.86,20.67,0.8993000000000001,100.6,118.57,67.13,47.18,22.53,35.66,0.0681,4.81,6.2,8.83,8.42,0.9233,0.33,92.92,8.83,91,0.86,0.33,92.92,1.17,0.58,0.0344,0.33,4,2.97,1.04
2012,47,Magdalena,334586,91.82,0.9164,65.58,87.26,64.96,34.07,1.0868,132.73,126.98,97.48,70.94,22.4,30.3,0.0622,20.84,4.91,3.85,3.24,0.9197,0.81,93.21,3.85,95.13,1.81,0.81,93.21,2.12,1.63,1.59,0.81,1.49,2.03,0.62
2012,50,Meta,210820,93.35,0.9329000000000001,67.14,92.31,75.91,40.64,1.03,98.87,114.39,104.58,72.52,26.14,10.77,0.058499999999999996,5.74,5.06,7.3,5.07,0.9168000000000001,0.25,93.44,7.3,91.6,0.024700000000000003,0.25,93.44,4.21,3.32,1.8,0.25,1.5,2.8,1.09
2012,52,Nariño,401539,77.75,0.7773,49.18,77.76,53.64,28.59,0.9296,77.17,114.83,86.62,58.96,21.4,22.69,1.84,1.32,1.54,2.37,2.29,0.9702,0.05,97.56,2.37,96.49,1.14,0.05,97.56,1.8,1.22,1.89,0.05,1.69,2.71,1.17
2012,54,Norte de Santander,322304,86,0.8593000000000001,71.79,90.29,64.3,35.87,0.9669,104.84,112.76,91.5,65.85,26.52,12.78,0.0489,4.33,4.49,5.93,4.06,0.9358,0.31,94.52,5.93,93.73,1.52,0.31,94.52,2.45,2.21,2.0,0.31,1.51,3.15,1.55
2012,63,Quindio,112175,88.77,0.8874,57.76,83.48,79.17,46.59,1.0248,85.14,102.69,115.75,84.76,27.72,20.29,0.0623,6.6,5.33,7.71,4.87,0.8979,0.19,92.03,7.71,90.92,0.039900000000000005,0.19,92.03,6.3,4.21,1.23,0.19,0.89,1.96,0.68
2012,66,Risaralda,189484,92.91,0.9277,66.03,91.19,75.09,42.98,1.091,101.05,115.24,114.83,87.7,21.73,46.96,0.0704,6.06,5.74,9.21,6.46,0.8791,0.88,90.82,9.21,88.3,0.0506,0.88,90.82,8.17,5.25,1.13,0.88,0.94,1.66,0.65
2012,68,Santander,425904,92.21,0.9211,70.17,92.89,77.82,46.84,1.0399,113,111.22,105.22,81.41,24.89,22.18,0.0467,5.46,3.79,5.89,3.84,0.9265000000000001,0.32,94.58,5.89,92.93,0.0268,0.32,94.58,4.44,3.23,0.0253,0.32,1.75,4.18,1.58
2012,70,Sucre,203626,95.6,0.9555,67.51,95.1,73.72,38.11,1.1262,131.62,128.16,105.8,79.65,23.33,26.4,0.0483,5.15,4.77,5,4.31,0.8568000000000001,0.8,86.01,5,86.79,0.0949,0.8,86.01,12.81,8.9,0.65,0.8,0.65,0.75,0.54
2012,73,Tolima,321653,87.47,0.8742,61.62,85.71,71.82,39.77,0.9711,93.43,108.4,97.3,70.92,24.81,42.37,0.051100000000000007,4.92,4.39,6.42,4.31,0.8737999999999999,0.35,89.53,6.42,89.29,0.0751,0.35,89.53,11.54,6.4,0.66,0.35,0.69,0.8,0.37
2012,76,Valle del Cauca,894698,88.26,0.8809,60.32,86.16,71.21,40.62,1.0186,103.98,111.69,103.27,76.19,22.35,40.32,0.0432,4.79,3.74,5.21,3.69,0.9239,0.2,93.91,5.21,92.98,0.0329,0.2,93.91,5.28,3.33,1.64,0.2,1.39,2.4,1.01
2012,81,Arauca,74454,72.33,0.7229000000000001,51.48,70.61,54.47,29.81,0.8367,87.4,92.29,80.66,61.94,16.46,17.33,0.0499,4.63,4.72,5.72,4.56,0.9499,0,95.28,5.72,95.21,0.03,0,95.28,0.01,0.23,0.0383,0,3.06,5.9,3.09
2012,85,Casanare,85999,103.94,1.0388,78.45,102,85.4,44.03,1.1702,111,124.85,123.4,87.9,24.17,18.7,0.0652,5.57,5.44,8.39,6.08,0.8767,0.08,90.35,8.39,88.88,0.0581,0.08,90.35,9.64,5.03,1.92,0.08,1.5,3.1,1.29
2012,86,Putumayo,93570,78.17,0.7817000000000001,48.82,78.95,57.46,27.28,0.9312,93.3,104.13,91.93,67.64,23.77,15.74,0.0616,6.05,5.63,7.44,4.88,0.8959999999999999,0.28,91.34,7.44,90.23,0.0424,0.28,91.34,7.19,4.89,1.03,0.28,1,1.33,0.73
2012,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15648,68.7,0.6865000000000001,59.87,69.69,60.91,39.82,0.7620999999999999,80.41,76.85,79.21,66.91,25.28,0,1.26,1.21,1.12,1.52,1.12,0.9815999999999999,0,98.37,1.52,98.16,0.58,0,98.37,0.76,0.72,0.039,0,2.31,7.03,2.74
2012,91,Amazonas,22194,81.87,0.8187000000000001,60.22,85.62,53.33,22.31,0.9476,108.82,113.46,84.95,58.28,19.34,20.91,0.047,5.16,2.3,7.97,8.06,0.9373999999999999,0,95.78,7.97,89.96,1.56,0,95.78,1.35,1.98,0.063,0,6.83,7.25,3.17
2012,94,Guainía,11920,70.82,0.7081999999999999,47.69,72.5,28.38,8.24,0.8590000000000001,97.97,123.18,66.45,33.19,18.6,18.95,0.0891,9.43,8.18,10.63,7.93,0.7818,8.29,79.74,10.63,77.4,0.1291,8.29,79.74,16.74,14.66,1.75,8.29,1.77,1.46,1.43
2012,95,Guaviare,31272,59.2,0.5918,37.54,58.24,43.64,19.62,0.713,61.81,80.5,71.54,50.99,18.66,11.42,0.048600000000000004,4.11,5.37,4.46,3.89,0.9489,0.12,94.46,4.46,95.28,0.26,0.12,94.46,0.28,0.84,1.5,0.12,1.13,2.4,0.73
2012,97,Vaupés,12681,62.32,0.6232,25.29,63.35,31.81,9.36,0.7318000000000001,43.72,100.51,61.76,37.78,13.21,20.61,0.0762,9.09,6.62,8.9,10.82,0.7986,2.27,79.86,8.9,76.63,0.1252,2.27,79.86,12.3,12.54,0.051100000000000007,2.27,5.95,4.8,1.31
2012,99,Vichada,20686,66.75,0.6675,38.02,66.96,33.37,15.01,0.7511,70.78,103.97,56.97,35.88,15.67,17.86,0.0507,7.59,4.41,6.11,4.14,0.8824,4,86.45,6.11,93.94,0.0669,4,86.45,2.81,1.92,1.31,4,1.33,1.67,1.04
2013,5,Antioquia,1272458,92.06,0.9193000000000001,67.61,91.53,75.66,42.71,1.0569,89.77,114.71,110.13,83.42,52.72,68.47,0.035699999999999996,2.92,2.94,4.8,3.07,0.9159,0.12,93.02,4.8,91.76,0.0484,0.12,93.02,6.96,5.17,1.57,0.12,1.41,2.27,1.12
2013,8,Atlántico,522832,86.41,0.8622,53.67,83.23,74.1,43.94,0.9558,90.45,105.34,96.36,72.05,29.46,84.94,0.031200000000000002,1.58,3.55,3.17,2.33,0.9577,0.56,95.44,3.17,96.72,1.11,0.56,95.44,1.43,0.95,1.66,0.56,1.71,1.89,0.79
2013,11,"Bogotá, D.C.",1466854,84.5,0.8406999999999999,61.24,79.32,79.72,52.67,0.9142,78.94,89.84,99.41,85.53,28.08,99.86,0.0368,0.59,3.1,4.82,3.74,0.9632,0.01,96.9,4.82,96.26,0.0,0.01,96.9,0,0,0.0689,0.01,4.88,10.78,5.54
2013,13,Bolívar,492500,89.66,0.8955,59.86,87.5,70.4,38.27,1.0372,110.14,115.02,101.57,76.86,34.98,52.59,0.0256,2.57,2.58,2.66,2.2,0.9423,0.42,94.91,2.66,93.72,0.032,0.42,94.91,4.77,4.08,1.91,0.42,2.12,2.19,0.83
2013,15,Boyacá,292312,85.1,0.8504999999999999,66.11,81.56,75.09,48.43,0.963,84.49,94.3,102.56,94.08,39.97,23.57,0.0245,2.3,1.78,3.25,2.5,0.9340999999999999,0.27,95.35,3.25,93.77,0.0414,0.27,95.35,6.53,3.74,1.69,0.27,1.28,2.55,1.37
2013,17,Caldas,196982,82.58,0.8254,56.05,78.2,70.78,44.6,0.9492,75.79,98.79,100.75,83.2,40.09,34.49,0.040999999999999995,4.26,3.36,5.38,3.21,0.8864,0.36,90.3,5.38,90.4,0.0725,0.36,90.3,10.2,6.39,1.87,0.36,1.57,2.75,1.42
2013,18,Caquetá,124458,80.95,0.8094,49.28,81.93,56.48,23.87,0.9555,89.72,114.83,90.45,58.16,46.7,8.48,0.0655,6.08,6.69,6.95,4.34,0.9248000000000001,0.26,92.55,6.95,94.48,0.96,0.26,92.55,1.48,1.18,1.32,0.26,1.13,2.06,0.89
2013,19,Cauca,320510,84.34,0.8432999999999999,47.61,85.42,63.11,31.9,1.0467,86,122.39,101.61,77.68,30.35,24.64,0.0374,2.01,3.4,4.75,3.6,0.9168999999999999,0.96,91.86,4.75,92.82,0.045700000000000005,0.96,91.86,5.47,3.59,1.28,0.96,1.2,1.67,1.23
2013,20,Cesar,262240,94.92,0.948,58.66,93.36,71.46,36.02,1.0998,118.37,124.67,106.2,75.74,44.23,22.4,0.0453,6.02,4.32,4.77,3.3,0.8987,2.42,90.67,4.77,91.16,0.055999999999999994,2.42,90.67,7.5,5.54,1.07,2.42,0.99,1.27,0.68
2013,23,Córdoba,407589,93.39,0.9335,57.06,92.17,73.47,36.38,1.1067,110.3,122.75,110.9,79.41,32.42,18.28,0.023,2.18,1.96,2.79,2.44,0.9612999999999999,0.75,96.79,2.79,95.72,1.57,0.75,96.79,2.23,1.84,0.0269,0.75,2.85,2.86,1.73
2013,25,Cundinamarca,572012,90.49,0.9028,61,85.47,82.08,47.98,1.0066,88.69,101.81,110.73,83.73,23.42,30.51,0.0317,3.53,2.61,3.93,2.69,0.9570000000000001,0.03,96.84,3.93,95.9,1.12,0.03,96.84,1.93,1.41,1.9,0.03,1.39,2.95,1.52
2013,27,Chocó,145133,79.59,0.7959,55.47,82.73,44.28,18.43,0.9673,95.65,122.5,82.31,56.24,17.38,7.96,0.045899999999999996,2.79,4.29,6.19,3.71,0.8885,0.14,88.62,6.19,91.92,0.06559999999999999,0.14,88.62,8.37,4.38,0.15,0.14,0.16,0.11,0.06
2013,41,Huila,272091,89.73,0.8968,64.77,90.86,75.27,39.07,1.0165,88.51,113.53,104.67,73.09,39.56,11.73,0.0478,4.2,3.27,7,4.99,0.9218000000000001,0.07,94.34,7,91.05,0.0304,0.07,94.34,4.39,3.97,1.03,0.07,0.77,1.65,0.81
2013,44,La Guajira,244513,74.8,0.7473000000000001,45.36,71.75,43.38,19.95,0.8785,100.36,114.38,67.89,43.91,47.37,14.04,0.0527,4.08,5.69,5.31,3.48,0.9412,0.26,93.77,5.31,95.83,0.61,0.26,93.77,0.9,0.68,0.0235,0.26,2.47,2.61,1.11
2013,47,Magdalena,332266,96.03,0.9582999999999999,63.85,89.83,68.82,34.97,1.1711,144.97,141.75,100.58,71.96,36.44,30.69,0.0319,2.03,3.13,3.87,2.68,0.9531999999999999,0.72,95.41,3.87,96,1.49,0.72,95.41,1.86,1.32,1.32,0.72,1.28,1.56,0.76
